ticket_id,order_id,customer_id,driver_id,restaurant_id,issue_type,issue_sub_type,channel,opened_datetime,resolved_datetime,status,csat_score,compensation_amount,resolved_by_agent_id
TKT100066,ORD484203,CUST0078,DRV007,REST070,rider,rude,call,2024-11-19 18:20:00,2024-11-19 19:06:00,resolved,5,50,AGT007
TKT100067,ORD445841,CUST0060,DRV028,REST094,food,wrong_item,email,2024-06-24 18:55:00,2024-06-24 19:35:00,resolved,1,0,AGT098
TKT100068,ORD400788,CUST0280,DRV161,REST099,delivery,late,in_app,2024-01-03 22:21:00,2024-01-04 00:52:00,resolved,2,0,AGT062
TKT100069,ORD400265,CUST0452,DRV088,REST056,delivery,not_delivered,call,2024-01-01 15:15:00,2024-01-01 16:29:00,resolved,3,50,AGT056
TKT100070,ORD477772,CUST0149,DRV170,REST078,rider,rude,in_app,2024-10-27 21:38:00,2024-10-27 23:45:00,resolved,1,100,AGT055
TKT100071,ORD476211,CUST0078,DRV173,REST078,payment,overcharged,email,2024-10-20 03:08:00,2024-10-20 04:14:00,resolved,1,0,AGT003
TKT100072,ORD420584,CUST0419,DRV172,REST049,rider,no_mask,in_app,2024-03-17 16:43:00,2024-03-17 17:54:00,resolved,2,50,AGT034
TKT100073,ORD406062,CUST0145,DRV027,REST050,payment,refund,email,2024-01-22 06:38:00,2024-01-22 07:56:00,resolved,2,100,AGT045
TKT100074,ORD493217,CUST0497,DRV012,REST030,delivery,late,in_app,2024-12-26 05:16:00,2024-12-26 07:04:00,resolved,2,100,AGT094
TKT100075,ORD459590,CUST0210,DRV193,REST013,rider,rude,in_app,2024-08-15 02:45:00,2024-08-15 03:45:00,resolved,3,100,AGT085
TKT100076,ORD463735,CUST0454,DRV195,REST061,rider,no_mask,call,2024-09-02 20:39:00,2024-09-02 22:31:00,resolved,3,50,AGT014
TKT100077,ORD436875,CUST0376,DRV082,REST002,food,wrong_item,in_app,2024-05-19 08:45:00,2024-05-19 10:52:00,resolved,2,50,AGT032
TKT100078,ORD439921,CUST0040,DRV086,REST068,food,wrong_item,call,2024-06-01 16:14:00,2024-06-01 18:41:00,resolved,5,100,AGT003
TKT100079,ORD474682,CUST0444,DRV107,REST098,rider,rude,email,2024-10-13 08:52:00,2024-10-13 09:18:00,resolved,3,0,AGT087
TKT100080,ORD453758,CUST0167,DRV110,REST020,delivery,not_delivered,email,2024-07-26 00:47:00,2024-07-26 02:47:00,resolved,1,50,AGT054
TKT100081,ORD450320,CUST0074,DRV199,REST088,food,wrong_item,email,2024-07-10 09:08:00,2024-07-10 11:48:00,resolved,1,0,AGT061
TKT100082,ORD443649,CUST0119,DRV134,REST069,payment,refund,email,2024-06-14 21:46:00,2024-06-14 23:09:00,resolved,4,100,AGT043
TKT100083,ORD405957,CUST0461,DRV137,REST079,rider,no_mask,email,2024-01-22 04:16:00,2024-01-22 04:45:00,resolved,2,50,AGT019
TKT100084,ORD449160,CUST0338,DRV113,REST074,delivery,not_delivered,in_app,2024-07-06 08:25:00,2024-07-06 08:39:00,resolved,2,50,AGT002
TKT100085,ORD445467,CUST0435,DRV130,REST009,food,wrong_item,email,2024-06-22 10:54:00,2024-06-22 11:14:00,resolved,4,100,AGT079
TKT100086,ORD414181,CUST0315,DRV131,REST014,rider,rude,email,2024-02-23 15:23:00,2024-02-23 17:12:00,resolved,5,100,AGT079
TKT100087,ORD459014,CUST0040,DRV162,REST073,payment,refund,in_app,2024-08-13 17:54:00,2024-08-13 20:15:00,resolved,5,100,AGT070
TKT100088,ORD457577,CUST0193,DRV186,REST057,food,cold,in_app,2024-08-08 12:30:00,2024-08-08 13:25:00,resolved,1,50,AGT021
TKT100089,ORD461623,CUST0187,DRV064,REST001,rider,no_mask,email,2024-08-24 03:40:00,2024-08-24 03:54:00,resolved,3,50,AGT061
TKT100090,ORD463812,CUST0482,DRV161,REST093,payment,overcharged,call,2024-09-02 07:45:00,2024-09-02 08:31:00,resolved,3,100,AGT030
TKT100091,ORD433251,CUST0109,DRV061,REST060,payment,overcharged,email,2024-05-06 19:49:00,2024-05-06 22:42:00,resolved,5,0,AGT085
TKT100092,ORD484131,CUST0479,DRV034,REST081,food,wrong_item,in_app,2024-11-19 13:48:00,2024-11-19 15:01:00,resolved,4,100,AGT057
TKT100093,ORD462597,CUST0405,DRV184,REST030,rider,rude,call,2024-08-28 07:46:00,2024-08-28 08:16:00,resolved,1,50,AGT083
TKT100094,ORD448349,CUST0469,DRV125,REST082,delivery,late,in_app,2024-07-04 08:10:00,2024-07-04 10:04:00,resolved,5,100,AGT075
TKT100095,ORD470719,CUST0441,DRV165,REST032,payment,overcharged,email,2024-09-29 21:17:00,2024-09-30 00:06:00,resolved,1,100,AGT068
TKT100096,ORD434868,CUST0394,DRV163,REST045,delivery,late,in_app,2024-05-11 16:34:00,2024-05-11 18:39:00,resolved,2,50,AGT060
TKT100097,ORD481079,CUST0165,DRV190,REST078,food,cold,call,2024-11-07 10:57:00,2024-11-07 13:19:00,resolved,4,0,AGT097
TKT100098,ORD406313,CUST0437,DRV122,REST035,food,cold,call,2024-01-24 16:19:00,2024-01-24 18:11:00,resolved,3,100,AGT061
TKT100099,ORD427660,CUST0283,DRV073,REST004,delivery,late,in_app,2024-04-13 12:05:00,2024-04-13 13:19:00,resolved,5,50,AGT042
TKT100100,ORD462896,CUST0334,DRV155,REST066,delivery,not_delivered,call,2024-08-30 19:47:00,2024-08-30 20:18:00,resolved,3,50,AGT048
TKT100101,ORD471634,CUST0210,DRV187,REST065,food,wrong_item,email,2024-10-02 11:57:00,2024-10-02 12:26:00,resolved,2,100,AGT100
TKT100102,ORD417662,CUST0434,DRV069,REST100,delivery,not_delivered,email,2024-03-07 05:54:00,2024-03-07 07:26:00,resolved,5,50,AGT027
TKT100103,ORD483963,CUST0144,DRV192,REST083,food,wrong_item,in_app,2024-11-19 00:24:00,2024-11-19 01:55:00,resolved,1,100,AGT033
TKT100104,ORD444018,CUST0058,DRV051,REST064,food,cold,email,2024-06-15 17:26:00,2024-06-15 20:25:00,resolved,3,0,AGT043
TKT100105,ORD444779,CUST0136,DRV044,REST035,payment,refund,in_app,2024-06-19 13:36:00,2024-06-19 15:47:00,resolved,4,100,AGT003
TKT100106,ORD449387,CUST0257,DRV028,REST013,rider,rude,call,2024-07-07 16:29:00,2024-07-07 17:57:00,resolved,3,100,AGT018
TKT100107,ORD404422,CUST0016,DRV083,REST002,rider,rude,call,2024-01-16 08:49:00,2024-01-16 11:12:00,resolved,1,50,AGT077
TKT100108,ORD416129,CUST0377,DRV138,REST060,payment,refund,in_app,2024-03-02 12:03:00,2024-03-02 13:17:00,resolved,3,0,AGT095
TKT100109,ORD438823,CUST0069,DRV127,REST027,payment,refund,in_app,2024-05-28 15:24:00,2024-05-28 17:26:00,resolved,2,50,AGT095
TKT100110,ORD450266,CUST0398,DRV068,REST079,food,wrong_item,in_app,2024-07-10 21:08:00,2024-07-10 22:37:00,resolved,3,0,AGT095
TKT100111,ORD454809,CUST0327,DRV041,REST001,delivery,not_delivered,in_app,2024-07-29 18:42:00,2024-07-29 20:41:00,resolved,4,100,AGT060
TKT100112,ORD412896,CUST0053,DRV139,REST002,delivery,not_delivered,email,2024-02-17 20:42:00,2024-02-17 21:17:00,resolved,2,100,AGT005
TKT100113,ORD425997,CUST0306,DRV084,REST061,rider,rude,call,2024-04-08 15:00:00,2024-04-08 15:30:00,resolved,2,0,AGT039
TKT100114,ORD477649,CUST0183,DRV153,REST085,delivery,late,call,2024-10-26 05:52:00,2024-10-26 07:51:00,resolved,1,100,AGT065
TKT100115,ORD417308,CUST0212,DRV049,REST029,food,wrong_item,in_app,2024-03-06 03:10:00,2024-03-06 04:19:00,resolved,1,0,AGT018
TKT100116,ORD430464,CUST0090,DRV081,REST077,payment,overcharged,in_app,2024-04-26 17:44:00,2024-04-26 20:27:00,resolved,4,50,AGT019
TKT100117,ORD474940,CUST0386,DRV185,REST072,rider,rude,call,2024-10-14 17:29:00,2024-10-14 19:55:00,resolved,4,100,AGT087
TKT100118,ORD475405,CUST0302,DRV058,REST008,rider,no_mask,in_app,2024-10-16 14:51:00,2024-10-16 17:13:00,resolved,5,0,AGT033
TKT100119,ORD450533,CUST0205,DRV125,REST013,rider,rude,in_app,2024-07-11 13:36:00,2024-07-11 15:05:00,resolved,1,100,AGT079
TKT100120,ORD473893,CUST0450,DRV007,REST014,delivery,not_delivered,call,2024-10-10 01:18:00,2024-10-10 01:32:00,resolved,1,50,AGT010
TKT100121,ORD444048,CUST0193,DRV105,REST007,delivery,late,email,2024-06-15 10:02:00,2024-06-15 10:42:00,resolved,5,0,AGT001
TKT100122,ORD429435,CUST0238,DRV053,REST055,payment,overcharged,in_app,2024-04-21 19:32:00,2024-04-21 22:27:00,resolved,2,100,AGT058
TKT100123,ORD439733,CUST0150,DRV106,REST023,food,wrong_item,call,2024-06-01 22:28:00,2024-06-01 23:28:00,resolved,1,0,AGT056
TKT100124,ORD424052,CUST0272,DRV052,REST080,payment,overcharged,in_app,2024-04-01 09:22:00,2024-04-01 11:13:00,resolved,3,50,AGT078
TKT100125,ORD469935,CUST0326,DRV185,REST092,rider,no_mask,call,2024-09-26 15:32:00,2024-09-26 16:22:00,resolved,1,50,AGT055
TKT100126,ORD489359,CUST0385,DRV031,REST070,rider,no_mask,in_app,2024-12-09 15:48:00,2024-12-09 17:28:00,resolved,4,100,AGT005
TKT100127,ORD472798,CUST0058,DRV070,REST084,food,cold,email,2024-10-06 04:38:00,2024-10-06 07:02:00,resolved,5,50,AGT035
TKT100128,ORD432856,CUST0280,DRV035,REST021,payment,refund,call,2024-05-05 20:34:00,2024-05-05 20:53:00,resolved,2,0,AGT052
TKT100129,ORD462234,CUST0300,DRV139,REST071,rider,no_mask,email,2024-08-27 13:42:00,2024-08-27 14:36:00,resolved,1,0,AGT054
TKT100130,ORD401122,CUST0196,DRV178,REST066,food,cold,email,2024-01-04 06:30:00,2024-01-04 08:17:00,resolved,5,50,AGT003
TKT100131,ORD462606,CUST0112,DRV116,REST013,rider,no_mask,call,2024-08-28 22:50:00,2024-08-28 23:52:00,resolved,4,0,AGT069
TKT100132,ORD433995,CUST0257,DRV027,REST017,food,wrong_item,call,2024-05-08 12:55:00,2024-05-08 14:38:00,resolved,3,0,AGT013
TKT100133,ORD427840,CUST0176,DRV183,REST018,food,cold,email,2024-04-15 00:58:00,2024-04-15 01:56:00,resolved,1,0,AGT008
TKT100134,ORD454349,CUST0292,DRV133,REST046,food,cold,in_app,2024-07-27 17:20:00,2024-07-27 20:16:00,resolved,5,0,AGT032
TKT100135,ORD410407,CUST0192,DRV093,REST069,payment,overcharged,in_app,2024-02-08 22:12:00,2024-02-09 01:03:00,resolved,5,50,AGT019
TKT100136,ORD474860,CUST0146,DRV026,REST084,payment,refund,email,2024-10-13 05:37:00,2024-10-13 07:33:00,resolved,5,100,AGT084
TKT100137,ORD417992,CUST0066,DRV076,REST073,rider,rude,email,2024-03-08 13:42:00,2024-03-08 15:35:00,resolved,3,50,AGT055
TKT100138,ORD446582,CUST0151,DRV125,REST001,food,wrong_item,call,2024-06-27 21:45:00,2024-06-28 00:30:00,resolved,5,0,AGT046
TKT100139,ORD424775,CUST0411,DRV127,REST076,payment,overcharged,email,2024-04-04 11:17:00,2024-04-04 11:59:00,resolved,2,0,AGT049
TKT100140,ORD482997,CUST0406,DRV187,REST059,delivery,not_delivered,email,2024-11-14 01:44:00,2024-11-14 02:37:00,resolved,2,0,AGT030
TKT100141,ORD423374,CUST0224,DRV166,REST061,rider,rude,in_app,2024-03-30 13:57:00,2024-03-30 15:28:00,resolved,1,0,AGT074
TKT100142,ORD486227,CUST0213,DRV023,REST016,rider,no_mask,email,2024-11-28 06:06:00,2024-11-28 06:37:00,resolved,1,50,AGT014
TKT100143,ORD472339,CUST0335,DRV170,REST039,rider,rude,call,2024-10-04 03:14:00,2024-10-04 04:22:00,resolved,4,0,AGT087
TKT100144,ORD432480,CUST0497,DRV153,REST003,delivery,not_delivered,call,2024-05-03 14:02:00,2024-05-03 15:37:00,resolved,1,50,AGT048
TKT100145,ORD409801,CUST0172,DRV125,REST029,payment,overcharged,call,2024-02-07 01:07:00,2024-02-07 04:06:00,resolved,2,100,AGT021
TKT100146,ORD417282,CUST0481,DRV141,REST073,rider,no_mask,email,2024-03-06 04:27:00,2024-03-06 05:19:00,resolved,3,100,AGT096
TKT100147,ORD445383,CUST0259,DRV116,REST036,payment,overcharged,call,2024-06-21 21:31:00,2024-06-21 22:54:00,resolved,2,0,AGT061
TKT100148,ORD465491,CUST0498,DRV042,REST034,payment,refund,call,2024-09-07 21:37:00,2024-09-07 22:04:00,resolved,2,0,AGT045
TKT100149,ORD405784,CUST0441,DRV154,REST080,rider,no_mask,call,2024-01-21 07:19:00,2024-01-21 07:39:00,resolved,3,50,AGT076
TKT100150,ORD426978,CUST0367,DRV198,REST078,delivery,late,call,2024-04-11 11:03:00,2024-04-11 12:58:00,resolved,4,0,AGT076
TKT100151,ORD486658,CUST0169,DRV190,REST051,food,wrong_item,email,2024-11-30 18:22:00,2024-11-30 21:00:00,resolved,4,0,AGT067
TKT100152,ORD459995,CUST0139,DRV006,REST072,delivery,not_delivered,in_app,2024-08-17 22:00:00,2024-08-17 23:46:00,resolved,3,0,AGT027
TKT100153,ORD491531,CUST0145,DRV084,REST021,delivery,not_delivered,in_app,2024-12-18 07:14:00,2024-12-18 08:02:00,resolved,3,50,AGT090
TKT100154,ORD400585,CUST0097,DRV199,REST065,food,cold,email,2024-01-03 11:29:00,2024-01-03 14:16:00,resolved,1,50,AGT002
TKT100155,ORD441886,CUST0331,DRV102,REST059,delivery,late,call,2024-06-08 13:22:00,2024-06-08 13:52:00,resolved,5,50,AGT081
TKT100156,ORD438054,CUST0289,DRV084,REST015,payment,overcharged,email,2024-05-25 01:34:00,2024-05-25 03:07:00,resolved,2,50,AGT022
TKT100157,ORD457448,CUST0077,DRV191,REST020,rider,rude,call,2024-08-07 06:11:00,2024-08-07 08:42:00,resolved,1,0,AGT078
TKT100158,ORD410917,CUST0148,DRV103,REST024,food,wrong_item,email,2024-02-10 08:58:00,2024-02-10 10:36:00,resolved,3,0,AGT079
TKT100159,ORD424563,CUST0140,DRV001,REST088,delivery,not_delivered,call,2024-04-03 23:45:00,2024-04-04 01:01:00,resolved,1,100,AGT083
TKT100160,ORD482776,CUST0419,DRV089,REST024,payment,overcharged,in_app,2024-11-13 21:52:00,2024-11-14 00:26:00,resolved,5,100,AGT013
TKT100161,ORD440763,CUST0238,DRV070,REST012,delivery,late,call,2024-06-05 00:24:00,2024-06-05 01:19:00,resolved,4,0,AGT031
TKT100162,ORD489745,CUST0494,DRV019,REST070,payment,refund,email,2024-12-10 17:12:00,2024-12-10 18:27:00,resolved,3,50,AGT092
TKT100163,ORD445008,CUST0161,DRV194,REST045,payment,refund,call,2024-06-20 22:43:00,2024-06-21 00:35:00,resolved,4,0,AGT070
TKT100164,ORD427267,CUST0473,DRV138,REST036,rider,no_mask,in_app,2024-04-12 17:20:00,2024-04-12 18:21:00,resolved,2,100,AGT083
TKT100165,ORD414051,CUST0196,DRV139,REST027,rider,no_mask,in_app,2024-02-22 04:13:00,2024-02-22 05:16:00,resolved,4,100,AGT081
TKT100166,ORD476055,CUST0020,DRV087,REST043,delivery,not_delivered,in_app,2024-10-19 20:38:00,2024-10-19 23:26:00,resolved,3,0,AGT048
TKT100167,ORD415815,CUST0110,DRV111,REST015,rider,no_mask,call,2024-03-01 00:55:00,2024-03-01 03:54:00,resolved,5,50,AGT011
TKT100168,ORD412258,CUST0411,DRV167,REST015,food,wrong_item,in_app,2024-02-15 09:00:00,2024-02-15 09:25:00,resolved,2,0,AGT065
TKT100169,ORD457848,CUST0431,DRV141,REST068,food,wrong_item,call,2024-08-09 12:47:00,2024-08-09 14:43:00,resolved,4,0,AGT030
TKT100170,ORD462879,CUST0416,DRV145,REST077,food,cold,email,2024-08-30 17:34:00,2024-08-30 19:43:00,resolved,5,50,AGT068
TKT100171,ORD406152,CUST0250,DRV140,REST037,delivery,not_delivered,in_app,2024-01-23 11:56:00,2024-01-23 12:25:00,resolved,2,0,AGT088
TKT100172,ORD469492,CUST0443,DRV172,REST098,payment,refund,call,2024-09-24 15:43:00,2024-09-24 16:28:00,resolved,4,50,AGT001
TKT100173,ORD474174,CUST0023,DRV111,REST006,delivery,late,in_app,2024-10-11 15:27:00,2024-10-11 18:05:00,resolved,2,50,AGT075
TKT100174,ORD463757,CUST0382,DRV096,REST017,payment,refund,email,2024-09-02 22:39:00,2024-09-03 00:38:00,resolved,4,50,AGT050
TKT100175,ORD492879,CUST0029,DRV086,REST022,rider,rude,in_app,2024-12-24 12:12:00,2024-12-24 14:48:00,resolved,3,0,AGT056
TKT100176,ORD470752,CUST0005,DRV007,REST015,food,wrong_item,call,2024-09-29 22:20:00,2024-09-30 00:44:00,resolved,4,100,AGT052
TKT100177,ORD457475,CUST0105,DRV085,REST039,delivery,late,call,2024-08-07 19:14:00,2024-08-07 20:22:00,resolved,5,50,AGT055
TKT100178,ORD479879,CUST0338,DRV032,REST058,food,cold,in_app,2024-11-03 22:05:00,2024-11-03 23:50:00,resolved,1,100,AGT033
TKT100179,ORD466847,CUST0479,DRV002,REST094,payment,overcharged,in_app,2024-09-12 10:55:00,2024-09-12 12:17:00,resolved,1,50,AGT037
TKT100180,ORD484731,CUST0419,DRV112,REST055,food,wrong_item,email,2024-11-22 14:05:00,2024-11-22 16:59:00,resolved,5,0,AGT047
TKT100181,ORD450686,CUST0263,DRV113,REST029,rider,rude,call,2024-07-11 13:11:00,2024-07-11 14:00:00,resolved,5,50,AGT079
