log_id,ticket_id,status,status_datetime,agent_id
141,TKT100070,opened,2024-10-27 21:38:00,AGT055
142,TKT100070,resolved,2024-10-27 23:45:00,AGT055
143,TKT100071,opened,2024-10-20 03:08:00,AGT003
144,TKT100071,resolved,2024-10-20 04:14:00,AGT003
145,TKT100072,opened,2024-03-17 16:43:00,AGT034
146,TKT100072,resolved,2024-03-17 17:54:00,AGT034
147,TKT100073,opened,2024-01-22 06:38:00,AGT045
148,TKT100073,resolved,2024-01-22 07:56:00,AGT045
149,TKT100074,opened,2024-12-26 05:16:00,AGT094
150,TKT100074,resolved,2024-12-26 07:04:00,AGT094
151,TKT100075,opened,2024-08-15 02:45:00,AGT085
152,TKT100075,resolved,2024-08-15 03:45:00,AGT085
153,TKT100076,opened,2024-09-02 20:39:00,AGT014
154,TKT100076,resolved,2024-09-02 22:31:00,AGT014
155,TKT100077,opened,2024-05-19 08:45:00,AGT032
156,TKT100077,resolved,2024-05-19 10:52:00,AGT032
157,TKT100078,opened,2024-06-01 16:14:00,AGT003
158,TKT100078,resolved,2024-06-01 18:41:00,AGT003
159,TKT100079,opened,2024-10-13 08:52:00,AGT087
160,TKT100079,resolved,2024-10-13 09:18:00,AGT087
161,TKT100080,opened,2024-07-26 00:47:00,AGT054
162,TKT100080,resolved,2024-07-26 02:47:00,AGT054
163,TKT100081,opened,2024-07-10 09:08:00,AGT061
164,TKT100081,resolved,2024-07-10 11:48:00,AGT061
165,TKT100082,opened,2024-06-14 21:46:00,AGT043
166,TKT100082,resolved,2024-06-14 23:09:00,AGT043
167,TKT100083,opened,2024-01-22 04:16:00,AGT019
168,TKT100083,resolved,2024-01-22 04:45:00,AGT019
169,TKT100084,opened,2024-07-06 08:25:00,AGT002
170,TKT100084,resolved,2024-07-06 08:39:00,AGT002
171,TKT100085,opened,2024-06-22 10:54:00,AGT079
172,TKT100085,resolved,2024-06-22 11:14:00,AGT079
173,TKT100086,opened,2024-02-23 15:23:00,AGT079
174,TKT100086,resolved,2024-02-23 17:12:00,AGT079
175,TKT100087,opened,2024-08-13 17:54:00,AGT070
176,TKT100087,resolved,2024-08-13 20:15:00,AGT070
177,TKT100088,opened,2024-08-08 12:30:00,AGT021
178,TKT100088,resolved,2024-08-08 13:25:00,AGT021
179,TKT100089,opened,2024-08-24 03:40:00,AGT061
180,TKT100089,resolved,2024-08-24 03:54:00,AGT061
181,TKT100090,opened,2024-09-02 07:45:00,AGT030
182,TKT100090,resolved,2024-09-02 08:31:00,AGT030
183,TKT100091,opened,2024-05-06 19:49:00,AGT085
184,TKT100091,resolved,2024-05-06 22:42:00,AGT085
185,TKT100092,opened,2024-11-19 13:48:00,AGT057
186,TKT100092,resolved,2024-11-19 15:01:00,AGT057
187,TKT100093,opened,2024-08-28 07:46:00,AGT083
188,TKT100093,resolved,2024-08-28 08:16:00,AGT083
189,TKT100094,opened,2024-07-04 08:10:00,AGT075
190,TKT100094,resolved,2024-07-04 10:04:00,AGT075
191,TKT100095,opened,2024-09-29 21:17:00,AGT068
192,TKT100095,resolved,2024-09-30 00:06:00,AGT068
193,TKT100096,opened,2024-05-11 16:34:00,AGT060
194,TKT100096,resolved,2024-05-11 18:39:00,AGT060
195,TKT100097,opened,2024-11-07 10:57:00,AGT097
196,TKT100097,resolved,2024-11-07 13:19:00,AGT097
197,TKT100098,opened,2024-01-24 16:19:00,AGT061
198,TKT100098,resolved,2024-01-24 18:11:00,AGT061
199,TKT100099,opened,2024-04-13 12:05:00,AGT042
200,TKT100099,resolved,2024-04-13 13:19:00,AGT042
201,TKT100100,opened,2024-08-30 19:47:00,AGT048
202,TKT100100,resolved,2024-08-30 20:18:00,AGT048
203,TKT100101,opened,2024-10-02 11:57:00,AGT100
204,TKT100101,resolved,2024-10-02 12:26:00,AGT100
205,TKT100102,opened,2024-03-07 05:54:00,AGT027
206,TKT100102,resolved,2024-03-07 07:26:00,AGT027
207,TKT100103,opened,2024-11-19 00:24:00,AGT033
208,TKT100103,resolved,2024-11-19 01:55:00,AGT033
209,TKT100104,opened,2024-06-15 17:26:00,AGT043
210,TKT100104,resolved,2024-06-15 20:25:00,AGT043
211,TKT100105,opened,2024-06-19 13:36:00,AGT003
212,TKT100105,resolved,2024-06-19 15:47:00,AGT003
213,TKT100106,opened,2024-07-07 16:29:00,AGT018
214,TKT100106,resolved,2024-07-07 17:57:00,AGT018
215,TKT100107,opened,2024-01-16 08:49:00,AGT077
216,TKT100107,resolved,2024-01-16 11:12:00,AGT077
217,TKT100108,opened,2024-03-02 12:03:00,AGT095
218,TKT100108,resolved,2024-03-02 13:17:00,AGT095
219,TKT100109,opened,2024-05-28 15:24:00,AGT095
220,TKT100109,resolved,2024-05-28 17:26:00,AGT095
221,TKT100110,opened,2024-07-10 21:08:00,AGT095
222,TKT100110,resolved,2024-07-10 22:37:00,AGT095
223,TKT100111,opened,2024-07-29 18:42:00,AGT060
224,TKT100111,resolved,2024-07-29 20:41:00,AGT060
225,TKT100112,opened,2024-02-17 20:42:00,AGT005
226,TKT100112,resolved,2024-02-17 21:17:00,AGT005
227,TKT100113,opened,2024-04-08 15:00:00,AGT039
228,TKT100113,resolved,2024-04-08 15:30:00,AGT039
229,TKT100114,opened,2024-10-26 05:52:00,AGT065
230,TKT100114,resolved,2024-10-26 07:51:00,AGT065
231,TKT100115,opened,2024-03-06 03:10:00,AGT018
232,TKT100115,resolved,2024-03-06 04:19:00,AGT018
233,TKT100116,opened,2024-04-26 17:44:00,AGT019
234,TKT100116,resolved,2024-04-26 20:27:00,AGT019
235,TKT100117,opened,2024-10-14 17:29:00,AGT087
236,TKT100117,resolved,2024-10-14 19:55:00,AGT087
237,TKT100118,opened,2024-10-16 14:51:00,AGT033
238,TKT100118,resolved,2024-10-16 17:13:00,AGT033
239,TKT100119,opened,2024-07-11 13:36:00,AGT079
240,TKT100119,resolved,2024-07-11 15:05:00,AGT079
241,TKT100120,opened,2024-10-10 01:18:00,AGT010
242,TKT100120,resolved,2024-10-10 01:32:00,AGT010
243,TKT100121,opened,2024-06-15 10:02:00,AGT001
244,TKT100121,resolved,2024-06-15 10:42:00,AGT001
245,TKT100122,opened,2024-04-21 19:32:00,AGT058
246,TKT100122,resolved,2024-04-21 22:27:00,AGT058
247,TKT100123,opened,2024-06-01 22:28:00,AGT056
248,TKT100123,resolved,2024-06-01 23:28:00,AGT056
249,TKT100124,opened,2024-04-01 09:22:00,AGT078
250,TKT100124,resolved,2024-04-01 11:13:00,AGT078
251,TKT100125,opened,2024-09-26 15:32:00,AGT055
252,TKT100125,resolved,2024-09-26 16:22:00,AGT055
253,TKT100126,opened,2024-12-09 15:48:00,AGT005
254,TKT100126,resolved,2024-12-09 17:28:00,AGT005
255,TKT100127,opened,2024-10-06 04:38:00,AGT035
256,TKT100127,resolved,2024-10-06 07:02:00,AGT035
257,TKT100128,opened,2024-05-05 20:34:00,AGT052
258,TKT100128,resolved,2024-05-05 20:53:00,AGT052
259,TKT100129,opened,2024-08-27 13:42:00,AGT054
260,TKT100129,resolved,2024-08-27 14:36:00,AGT054
261,TKT100130,opened,2024-01-04 06:30:00,AGT003
262,TKT100130,resolved,2024-01-04 08:17:00,AGT003
263,TKT100131,opened,2024-08-28 22:50:00,AGT069
264,TKT100131,resolved,2024-08-28 23:52:00,AGT069
265,TKT100132,opened,2024-05-08 12:55:00,AGT013
266,TKT100132,resolved,2024-05-08 14:38:00,AGT013
267,TKT100133,opened,2024-04-15 00:58:00,AGT008
268,TKT100133,resolved,2024-04-15 01:56:00,AGT008
269,TKT100134,opened,2024-07-27 17:20:00,AGT032
270,TKT100134,resolved,2024-07-27 20:16:00,AGT032
271,TKT100135,opened,2024-02-08 22:12:00,AGT019
272,TKT100135,resolved,2024-02-09 01:03:00,AGT019
273,TKT100136,opened,2024-10-13 05:37:00,AGT084
274,TKT100136,resolved,2024-10-13 07:33:00,AGT084
275,TKT100137,opened,2024-03-08 13:42:00,AGT055
276,TKT100137,resolved,2024-03-08 15:35:00,AGT055
277,TKT100138,opened,2024-06-27 21:45:00,AGT046
278,TKT100138,resolved,2024-06-28 00:30:00,AGT046
279,TKT100139,opened,2024-04-04 11:17:00,AGT049
280,TKT100139,resolved,2024-04-04 11:59:00,AGT049
281,TKT100140,opened,2024-11-14 01:44:00,AGT030
282,TKT100140,resolved,2024-11-14 02:37:00,AGT030
283,TKT100141,opened,2024-03-30 13:57:00,AGT074
284,TKT100141,resolved,2024-03-30 15:28:00,AGT074
285,TKT100142,opened,2024-11-28 06:06:00,AGT014
286,TKT100142,resolved,2024-11-28 06:37:00,AGT014
287,TKT100143,opened,2024-10-04 03:14:00,AGT087
288,TKT100143,resolved,2024-10-04 04:22:00,AGT087
289,TKT100144,opened,2024-05-03 14:02:00,AGT048
290,TKT100144,resolved,2024-05-03 15:37:00,AGT048
291,TKT100145,opened,2024-02-07 01:07:00,AGT021
292,TKT100145,resolved,2024-02-07 04:06:00,AGT021
293,TKT100146,opened,2024-03-06 04:27:00,AGT096
294,TKT100146,resolved,2024-03-06 05:19:00,AGT096
295,TKT100147,opened,2024-06-21 21:31:00,AGT061
296,TKT100147,resolved,2024-06-21 22:54:00,AGT061
297,TKT100148,opened,2024-09-07 21:37:00,AGT045
298,TKT100148,resolved,2024-09-07 22:04:00,AGT045
299,TKT100149,opened,2024-01-21 07:19:00,AGT076
300,TKT100149,resolved,2024-01-21 07:39:00,AGT076
301,TKT100150,opened,2024-04-11 11:03:00,AGT076
302,TKT100150,resolved,2024-04-11 12:58:00,AGT076
303,TKT100151,opened,2024-11-30 18:22:00,AGT067
304,TKT100151,resolved,2024-11-30 21:00:00,AGT067
305,TKT100152,opened,2024-08-17 22:00:00,AGT027
306,TKT100152,resolved,2024-08-17 23:46:00,AGT027
307,TKT100153,opened,2024-12-18 07:14:00,AGT090
308,TKT100153,resolved,2024-12-18 08:02:00,AGT090
309,TKT100154,opened,2024-01-03 11:29:00,AGT002
310,TKT100154,resolved,2024-01-03 14:16:00,AGT002
311,TKT100155,opened,2024-06-08 13:22:00,AGT081
312,TKT100155,resolved,2024-06-08 13:52:00,AGT081
313,TKT100156,opened,2024-05-25 01:34:00,AGT022
314,TKT100156,resolved,2024-05-25 03:07:00,AGT022
315,TKT100157,opened,2024-08-07 06:11:00,AGT078
316,TKT100157,resolved,2024-08-07 08:42:00,AGT078
317,TKT100158,opened,2024-02-10 08:58:00,AGT079
318,TKT100158,resolved,2024-02-10 10:36:00,AGT079
319,TKT100159,opened,2024-04-03 23:45:00,AGT083
320,TKT100159,resolved,2024-04-04 01:01:00,AGT083
321,TKT100160,opened,2024-11-13 21:52:00,AGT013
322,TKT100160,resolved,2024-11-14 00:26:00,AGT013
323,TKT100161,opened,2024-06-05 00:24:00,AGT031
324,TKT100161,resolved,2024-06-05 01:19:00,AGT031
325,TKT100162,opened,2024-12-10 17:12:00,AGT092
326,TKT100162,resolved,2024-12-10 18:27:00,AGT092
327,TKT100163,opened,2024-06-20 22:43:00,AGT070
328,TKT100163,resolved,2024-06-21 00:35:00,AGT070
329,TKT100164,opened,2024-04-12 17:20:00,AGT083
330,TKT100164,resolved,2024-04-12 18:21:00,AGT083
331,TKT100165,opened,2024-02-22 04:13:00,AGT081
332,TKT100165,resolved,2024-02-22 05:16:00,AGT081
333,TKT100166,opened,2024-10-19 20:38:00,AGT048
334,TKT100166,resolved,2024-10-19 23:26:00,AGT048
335,TKT100167,opened,2024-03-01 00:55:00,AGT011
336,TKT100167,resolved,2024-03-01 03:54:00,AGT011
337,TKT100168,opened,2024-02-15 09:00:00,AGT065
338,TKT100168,resolved,2024-02-15 09:25:00,AGT065
339,TKT100169,opened,2024-08-09 12:47:00,AGT030
340,TKT100169,resolved,2024-08-09 14:43:00,AGT030
341,TKT100170,opened,2024-08-30 17:34:00,AGT068
342,TKT100170,resolved,2024-08-30 19:43:00,AGT068
343,TKT100171,opened,2024-01-23 11:56:00,AGT088
344,TKT100171,resolved,2024-01-23 12:25:00,AGT088
345,TKT100172,opened,2024-09-24 15:43:00,AGT001
346,TKT100172,resolved,2024-09-24 16:28:00,AGT001
347,TKT100173,opened,2024-10-11 15:27:00,AGT075
348,TKT100173,resolved,2024-10-11 18:05:00,AGT075
349,TKT100174,opened,2024-09-02 22:39:00,AGT050
350,TKT100174,resolved,2024-09-03 00:38:00,AGT050
351,TKT100175,opened,2024-12-24 12:12:00,AGT056
352,TKT100175,resolved,2024-12-24 14:48:00,AGT056
353,TKT100176,opened,2024-09-29 22:20:00,AGT052
354,TKT100176,resolved,2024-09-30 00:44:00,AGT052
355,TKT100177,opened,2024-08-07 19:14:00,AGT055
356,TKT100177,resolved,2024-08-07 20:22:00,AGT055
357,TKT100178,opened,2024-11-03 22:05:00,AGT033
358,TKT100178,resolved,2024-11-03 23:50:00,AGT033
359,TKT100179,opened,2024-09-12 10:55:00,AGT037
360,TKT100179,resolved,2024-09-12 12:17:00,AGT037
361,TKT100180,opened,2024-11-22 14:05:00,AGT047
362,TKT100180,resolved,2024-11-22 16:59:00,AGT047
363,TKT100181,opened,2024-07-11 13:11:00,AGT079
364,TKT100181,resolved,2024-07-11 14:00:00,AGT079
365,TKT100182,opened,2024-04-11 07:23:00,AGT032
366,TKT100182,resolved,2024-04-11 09:41:00,AGT032
367,TKT100183,opened,2024-08-30 08:12:00,AGT063
368,TKT100183,resolved,2024-08-30 08:49:00,AGT063
369,TKT100184,opened,2024-07-17 00:51:00,AGT085
370,TKT100184,resolved,2024-07-17 02:02:00,AGT085
371,TKT100185,opened,2024-02-20 06:00:00,AGT079
372,TKT100185,resolved,2024-02-20 08:36:00,AGT079
373,TKT100186,opened,2024-11-12 18:04:00,AGT094
374,TKT100186,resolved,2024-11-12 19:13:00,AGT094
375,TKT100187,opened,2024-01-29 10:29:00,AGT083
376,TKT100187,resolved,2024-01-29 11:31:00,AGT083
377,TKT100188,opened,2024-12-20 02:09:00,AGT075
378,TKT100188,resolved,2024-12-20 05:00:00,AGT075
379,TKT100189,opened,2024-04-29 20:38:00,AGT025
380,TKT100189,resolved,2024-04-29 23:32:00,AGT025
381,TKT100190,opened,2024-06-15 03:32:00,AGT081
382,TKT100190,resolved,2024-06-15 04:03:00,AGT081
383,TKT100191,opened,2024-10-30 14:49:00,AGT058
384,TKT100191,resolved,2024-10-30 15:21:00,AGT058
385,TKT100192,opened,2024-07-29 10:42:00,AGT069
386,TKT100192,resolved,2024-07-29 11:42:00,AGT069
387,TKT100193,opened,2024-08-02 13:33:00,AGT076
388,TKT100193,resolved,2024-08-02 16:26:00,AGT076
389,TKT100194,opened,2024-08-28 22:29:00,AGT084
390,TKT100194,resolved,2024-08-29 00:15:00,AGT084
391,TKT100195,opened,2024-03-22 12:34:00,AGT027
392,TKT100195,resolved,2024-03-22 15:15:00,AGT027
393,TKT100196,opened,2024-06-01 03:50:00,AGT089
394,TKT100196,resolved,2024-06-01 05:11:00,AGT089
395,TKT100197,opened,2024-10-14 01:50:00,AGT047
396,TKT100197,resolved,2024-10-14 02:57:00,AGT047
397,TKT100198,opened,2024-05-14 05:23:00,AGT071
398,TKT100198,resolved,2024-05-14 07:46:00,AGT071
399,TKT100199,opened,2024-02-26 20:42:00,AGT058
400,TKT100199,resolved,2024-02-26 22:31:00,AGT058
401,TKT100200,opened,2024-05-16 05:44:00,AGT024
402,TKT100200,resolved,2024-05-16 06:43:00,AGT024
403,TKT100201,opened,2024-02-11 15:47:00,AGT024
404,TKT100201,resolved,2024-02-11 16:01:00,AGT024
405,TKT100202,opened,2024-11-19 01:44:00,AGT059
406,TKT100202,resolved,2024-11-19 03:18:00,AGT059
407,TKT100203,opened,2024-07-04 22:55:00,AGT093
408,TKT100203,resolved,2024-07-05 00:17:00,AGT093
409,TKT100204,opened,2024-09-03 07:44:00,AGT083
410,TKT100204,resolved,2024-09-03 08:36:00,AGT083
411,TKT100205,opened,2024-09-28 16:34:00,AGT071
412,TKT100205,resolved,2024-09-28 19:13:00,AGT071
413,TKT100206,opened,2024-11-23 17:47:00,AGT070
414,TKT100206,resolved,2024-11-23 18:33:00,AGT070
415,TKT100207,opened,2024-01-01 12:28:00,AGT043
416,TKT100207,resolved,2024-01-01 15:28:00,AGT043
417,TKT100208,opened,2024-01-23 04:07:00,AGT091
418,TKT100208,resolved,2024-01-23 06:13:00,AGT091
419,TKT100209,opened,2024-04-06 07:59:00,AGT040
420,TKT100209,resolved,2024-04-06 09:02:00,AGT040
421,TKT100210,opened,2024-03-14 11:22:00,AGT068
422,TKT100210,resolved,2024-03-14 12:16:00,AGT068
423,TKT100211,opened,2024-04-29 03:34:00,AGT029
424,TKT100211,resolved,2024-04-29 04:32:00,AGT029
425,TKT100212,opened,2024-11-08 11:03:00,AGT024
426,TKT100212,resolved,2024-11-08 11:44:00,AGT024
427,TKT100213,opened,2024-03-20 07:07:00,AGT061
428,TKT100213,resolved,2024-03-20 07:35:00,AGT061
429,TKT100214,opened,2024-05-09 17:21:00,AGT011
430,TKT100214,resolved,2024-05-09 18:04:00,AGT011
431,TKT100215,opened,2024-10-28 02:37:00,AGT053
432,TKT100215,resolved,2024-10-28 04:51:00,AGT053
433,TKT100216,opened,2024-12-26 05:25:00,AGT021
434,TKT100216,resolved,2024-12-26 08:06:00,AGT021
435,TKT100217,opened,2024-07-20 02:32:00,AGT044
436,TKT100217,resolved,2024-07-20 03:27:00,AGT044
437,TKT100218,opened,2024-08-04 02:06:00,AGT014
438,TKT100218,resolved,2024-08-04 04:19:00,AGT014
439,TKT100219,opened,2024-09-17 09:32:00,AGT065
440,TKT100219,resolved,2024-09-17 11:49:00,AGT065
441,TKT100220,opened,2024-08-11 05:25:00,AGT065
442,TKT100220,resolved,2024-08-11 07:37:00,AGT065
443,TKT100221,opened,2024-11-06 08:40:00,AGT081
444,TKT100221,resolved,2024-11-06 10:54:00,AGT081
445,TKT100222,opened,2024-10-10 18:13:00,AGT061
446,TKT100222,resolved,2024-10-10 20:28:00,AGT061
447,TKT100223,opened,2024-01-16 17:55:00,AGT052
448,TKT100223,resolved,2024-01-16 19:39:00,AGT052
449,TKT100224,opened,2024-10-27 13:59:00,AGT010
450,TKT100224,resolved,2024-10-27 15:35:00,AGT010
451,TKT100225,opened,2024-09-10 02:53:00,AGT054
452,TKT100225,resolved,2024-09-10 05:10:00,AGT054
453,TKT100226,opened,2024-10-29 04:42:00,AGT043
454,TKT100226,resolved,2024-10-29 07:04:00,AGT043
455,TKT100227,opened,2024-01-26 07:19:00,AGT055
456,TKT100227,resolved,2024-01-26 07:50:00,AGT055
457,TKT100228,opened,2024-07-29 21:02:00,AGT027
458,TKT100228,resolved,2024-07-29 22:05:00,AGT027
459,TKT100229,opened,2024-11-16 22:12:00,AGT011
460,TKT100229,resolved,2024-11-16 22:39:00,AGT011
461,TKT100230,opened,2024-08-28 20:46:00,AGT012
462,TKT100230,resolved,2024-08-28 20:57:00,AGT012
463,TKT100231,opened,2024-08-27 01:28:00,AGT061
464,TKT100231,resolved,2024-08-27 02:06:00,AGT061
465,TKT100232,opened,2024-06-14 09:04:00,AGT024
466,TKT100232,resolved,2024-06-14 10:39:00,AGT024
467,TKT100233,opened,2024-04-07 11:05:00,AGT071
468,TKT100233,resolved,2024-04-07 13:14:00,AGT071
469,TKT100234,opened,2024-04-22 11:29:00,AGT081
470,TKT100234,resolved,2024-04-22 11:42:00,AGT081
471,TKT100235,opened,2024-06-07 22:27:00,AGT066
472,TKT100235,resolved,2024-06-08 00:44:00,AGT066
473,TKT100236,opened,2024-09-07 21:38:00,AGT027
