session_id,customer_id,session_start,session_end,device_type,os_version,app_version,location
SESS000023,CUST0001,2024-07-24 10:41:00,2024-07-24 10:52:00,web,12.4,2.0.1,Khon Kaen
SESS000024,CUST0001,2024-03-06 05:21:00,2024-03-06 05:32:00,ios,13.2,1.0.0,Bangkok
SESS000025,CUST0001,2024-06-15 18:31:00,2024-06-15 18:37:00,ios,13.2,1.0.0,Chiang Mai
SESS000026,CUST0001,2024-07-18 06:34:00,2024-07-18 06:50:00,android,13.2,1.2.3,Khon Kaen
SESS000027,CUST0001,2024-01-29 01:11:00,2024-01-29 01:19:00,web,14.1,1.2.3,Bangkok
SESS000028,CUST0001,2024-11-17 04:37:00,2024-11-17 04:43:00,android,14.1,1.0.0,Phuket
SESS000029,CUST0001,2024-06-20 07:17:00,2024-06-20 07:34:00,ios,14.1,2.0.1,Chiang Mai
SESS000030,CUST0001,2024-02-17 19:22:00,2024-02-17 19:31:00,web,16.3,1.2.3,Bangkok
SESS000031,CUST0001,2024-09-05 16:31:00,2024-09-05 16:35:00,ios,12.4,1.0.0,Hat Yai
SESS000032,CUST0001,2024-11-21 07:54:00,2024-11-21 08:02:00,web,14.1,1.2.3,Chiang Mai
SESS000033,CUST0001,2024-06-08 10:46:00,2024-06-08 10:52:00,android,14.1,2.0.1,Chiang Mai
SESS000034,CUST0001,2024-04-06 15:27:00,2024-04-06 15:29:00,ios,12.4,1.2.3,Bangkok
SESS000035,CUST0001,2024-07-05 15:45:00,2024-07-05 15:47:00,android,16.3,1.0.0,Bangkok
SESS000036,CUST0491,2024-11-08 14:31:00,2024-11-08 14:44:00,android,16.3,1.2.3,Bangkok
SESS000037,CUST0491,2024-12-04 05:32:00,2024-12-04 05:50:00,web,14.1,1.2.3,Hat Yai
SESS000038,CUST0491,2024-02-07 06:44:00,2024-02-07 06:55:00,android,16.3,1.0.0,Hat Yai
SESS000039,CUST0491,2024-10-16 07:53:00,2024-10-16 08:12:00,ios,16.3,1.0.0,Phuket
SESS000040,CUST0491,2024-11-10 01:29:00,2024-11-10 01:47:00,web,14.1,2.0.1,Phuket
SESS000041,CUST0491,2024-09-04 06:15:00,2024-09-04 06:18:00,web,12.4,2.0.1,Hat Yai
SESS000042,CUST0217,2024-02-17 08:16:00,2024-02-17 08:18:00,web,12.4,1.2.3,Khon Kaen
SESS000043,CUST0217,2024-10-11 17:54:00,2024-10-11 18:03:00,android,14.1,1.2.3,Phuket
SESS000044,CUST0217,2024-12-07 02:39:00,2024-12-07 02:43:00,ios,13.2,1.0.0,Bangkok
SESS000045,CUST0217,2024-10-15 05:06:00,2024-10-15 05:24:00,android,16.3,1.0.0,Hat Yai
SESS000046,CUST0217,2024-04-16 17:29:00,2024-04-16 17:37:00,web,12.4,1.2.3,Khon Kaen
SESS000047,CUST0217,2024-02-09 05:07:00,2024-02-09 05:11:00,android,14.1,1.0.0,Chiang Mai
SESS000048,CUST0217,2024-11-04 11:00:00,2024-11-04 11:03:00,android,13.2,1.2.3,Hat Yai
SESS000049,CUST0217,2024-02-25 15:29:00,2024-02-25 15:49:00,ios,13.2,1.2.3,Khon Kaen
SESS000050,CUST0217,2024-06-30 06:34:00,2024-06-30 06:44:00,web,14.1,1.2.3,Chiang Mai
SESS000051,CUST0217,2024-01-02 14:18:00,2024-01-02 14:24:00,web,16.3,1.0.0,Bangkok
SESS000052,CUST0217,2024-04-15 13:56:00,2024-04-15 14:05:00,web,14.1,2.0.1,Chiang Mai
SESS000053,CUST0217,2024-01-02 13:18:00,2024-01-02 13:31:00,web,12.4,1.0.0,Bangkok
SESS000054,CUST0217,2024-03-02 10:56:00,2024-03-02 11:03:00,android,14.1,1.0.0,Phuket
SESS000055,CUST0217,2024-12-06 02:20:00,2024-12-06 02:24:00,ios,16.3,1.2.3,Chiang Mai
SESS000056,CUST0217,2024-09-04 01:01:00,2024-09-04 01:20:00,web,14.1,1.0.0,Hat Yai
SESS000057,CUST0217,2024-06-21 13:25:00,2024-06-21 13:34:00,ios,16.3,1.2.3,Khon Kaen
SESS000058,CUST0217,2024-04-25 11:25:00,2024-04-25 11:42:00,ios,14.1,2.0.1,Hat Yai
SESS000059,CUST0217,2024-03-03 18:02:00,2024-03-03 18:21:00,web,16.3,2.0.1,Hat Yai
SESS000060,CUST0217,2024-11-26 13:10:00,2024-11-26 13:20:00,android,12.4,1.0.0,Bangkok
SESS000061,CUST0217,2024-11-03 19:57:00,2024-11-03 20:13:00,ios,12.4,2.0.1,Phuket
SESS000062,CUST0059,2024-08-12 10:35:00,2024-08-12 10:42:00,web,14.1,1.2.3,Khon Kaen
SESS000063,CUST0059,2024-11-28 05:48:00,2024-11-28 06:01:00,web,13.2,1.2.3,Khon Kaen
SESS000064,CUST0059,2024-07-18 11:50:00,2024-07-18 11:53:00,ios,14.1,2.0.1,Khon Kaen
SESS000065,CUST0059,2024-09-10 17:05:00,2024-09-10 17:16:00,ios,13.2,1.2.3,Bangkok
SESS000066,CUST0059,2024-11-20 01:35:00,2024-11-20 01:54:00,web,13.2,1.0.0,Khon Kaen
SESS000067,CUST0059,2024-04-21 18:09:00,2024-04-21 18:13:00,web,12.4,2.0.1,Khon Kaen
SESS000068,CUST0059,2024-02-25 00:35:00,2024-02-25 00:52:00,web,12.4,2.0.1,Khon Kaen
SESS000069,CUST0059,2024-03-07 16:10:00,2024-03-07 16:17:00,ios,13.2,2.0.1,Bangkok
SESS000070,CUST0059,2024-10-03 14:40:00,2024-10-03 14:45:00,android,14.1,2.0.1,Phuket
SESS000071,CUST0059,2024-10-29 15:52:00,2024-10-29 15:57:00,android,14.1,1.2.3,Chiang Mai
SESS000072,CUST0059,2024-09-24 08:28:00,2024-09-24 08:45:00,ios,13.2,2.0.1,Phuket
SESS000073,CUST0059,2024-01-06 17:44:00,2024-01-06 17:59:00,web,12.4,1.2.3,Chiang Mai
SESS000074,CUST0059,2024-06-29 11:37:00,2024-06-29 11:40:00,android,12.4,1.2.3,Phuket
SESS000075,CUST00525,2024-01-16 09:54:00,2024-01-16 09:56:00,ios,14.1,1.2.3,Hat Yai
SESS000076,CUST00525,2024-07-06 01:50:00,2024-07-06 02:06:00,web,12.4,2.0.1,Khon Kaen
SESS000077,CUST00525,2024-08-26 19:32:00,2024-08-26 19:45:00,ios,13.2,1.0.0,Bangkok
SESS000078,CUST00525,2024-07-28 03:17:00,2024-07-28 03:20:00,web,13.2,1.2.3,Chiang Mai
SESS000079,CUST00525,2024-05-21 17:08:00,2024-05-21 17:12:00,ios,12.4,1.0.0,Khon Kaen
SESS000080,CUST00525,2024-08-07 18:31:00,2024-08-07 18:50:00,web,12.4,1.0.0,Hat Yai
SESS000081,CUST00525,2024-11-20 18:30:00,2024-11-20 18:42:00,web,14.1,1.2.3,Chiang Mai
SESS000082,CUST00525,2024-02-25 15:38:00,2024-02-25 15:41:00,ios,14.1,2.0.1,Chiang Mai
SESS000083,CUST00525,2024-03-10 12:13:00,2024-03-10 12:25:00,web,12.4,2.0.1,Chiang Mai
SESS000084,CUST0025,2024-05-31 15:03:00,2024-05-31 15:06:00,web,12.4,1.2.3,Chiang Mai
SESS000085,CUST0025,2024-12-22 17:44:00,2024-12-22 17:59:00,web,14.1,2.0.1,Hat Yai
SESS000086,CUST0025,2024-05-29 07:44:00,2024-05-29 07:51:00,android,13.2,2.0.1,Phuket
SESS000087,CUST0025,2024-10-27 19:58:00,2024-10-27 20:10:00,ios,13.2,2.0.1,Hat Yai
SESS000088,CUST0025,2024-07-02 14:42:00,2024-07-02 14:51:00,web,16.3,1.0.0,Chiang Mai
SESS000089,CUST0025,2024-06-09 14:08:00,2024-06-09 14:28:00,ios,12.4,2.0.1,Khon Kaen
SESS000090,CUST0025,2024-06-25 07:52:00,2024-06-25 07:54:00,android,12.4,1.0.0,Hat Yai
SESS000091,CUST0025,2024-09-17 14:42:00,2024-09-17 14:49:00,ios,16.3,1.0.0,Bangkok
SESS000092,CUST0025,2024-07-18 09:00:00,2024-07-18 09:17:00,android,14.1,1.2.3,Chiang Mai
SESS000093,CUST0025,2024-04-10 14:28:00,2024-04-10 14:36:00,ios,12.4,2.0.1,Phuket
SESS000094,CUST0025,2024-11-27 02:14:00,2024-11-27 02:19:00,web,13.2,2.0.1,Bangkok
SESS000095,CUST0025,2024-09-20 03:00:00,2024-09-20 03:03:00,web,13.2,2.0.1,Phuket
SESS000096,CUST0025,2024-01-03 13:33:00,2024-01-03 13:50:00,android,14.1,1.0.0,Bangkok
SESS000097,CUST0025,2024-04-05 10:37:00,2024-04-05 10:42:00,android,14.1,1.0.0,Phuket
SESS000098,CUST0025,2024-09-28 15:25:00,2024-09-28 15:30:00,ios,14.1,2.0.1,Hat Yai
SESS000099,CUST0025,2024-12-22 02:50:00,2024-12-22 02:52:00,android,12.4,2.0.1,Bangkok
SESS000100,CUST0025,2024-11-11 11:52:00,2024-11-11 12:12:00,ios,12.4,1.2.3,Hat Yai
SESS000101,CUST0025,2024-01-12 16:34:00,2024-01-12 16:40:00,android,13.2,2.0.1,Chiang Mai
SESS000102,CUST0226,2024-01-26 11:40:00,2024-01-26 11:58:00,android,13.2,1.0.0,Bangkok
SESS000103,CUST0226,2024-06-23 08:24:00,2024-06-23 08:39:00,ios,16.3,1.0.0,Hat Yai
SESS000104,CUST0226,2024-09-15 07:17:00,2024-09-15 07:28:00,web,16.3,1.2.3,Bangkok
SESS000105,CUST0226,2024-06-01 00:58:00,2024-06-01 01:15:00,android,16.3,2.0.1,Khon Kaen
SESS000106,CUST0226,2024-03-23 16:31:00,2024-03-23 16:37:00,ios,16.3,2.0.1,Khon Kaen
SESS000107,CUST0226,2024-05-02 13:52:00,2024-05-02 14:10:00,android,16.3,2.0.1,Phuket
SESS000108,CUST0226,2024-06-29 15:07:00,2024-06-29 15:19:00,ios,14.1,1.0.0,Hat Yai
SESS000109,CUST0226,2024-06-02 16:34:00,2024-06-02 16:50:00,web,16.3,2.0.1,Bangkok
SESS000110,CUST0226,2024-08-02 14:13:00,2024-08-02 14:19:00,ios,12.4,1.2.3,Bangkok
SESS000111,CUST0226,2024-09-18 10:39:00,2024-09-18 10:44:00,android,13.2,1.2.3,Bangkok
SESS000112,CUST0226,2024-06-17 01:50:00,2024-06-17 01:53:00,ios,13.2,1.2.3,Khon Kaen
SESS000113,CUST0226,2024-11-29 19:50:00,2024-11-29 20:10:00,android,13.2,1.2.3,Chiang Mai
SESS000114,CUST0226,2024-02-14 13:35:00,2024-02-14 13:40:00,android,16.3,1.0.0,Hat Yai
SESS000115,CUST0226,2024-07-15 00:59:00,2024-07-15 01:19:00,web,12.4,2.0.1,Khon Kaen
SESS000116,CUST0050,2024-11-28 12:55:00,2024-11-28 13:14:00,web,13.2,1.2.3,Hat Yai
SESS000117,CUST0050,2024-05-05 18:40:00,2024-05-05 18:52:00,android,13.2,1.0.0,Bangkok
SESS000118,CUST0050,2024-12-27 11:34:00,2024-12-27 11:48:00,web,12.4,1.2.3,Hat Yai
SESS000119,CUST0050,2024-06-12 01:45:00,2024-06-12 01:57:00,android,14.1,2.0.1,Chiang Mai
SESS000120,CUST0050,2024-11-10 00:51:00,2024-11-10 01:03:00,ios,12.4,2.0.1,Bangkok
SESS000121,CUST0050,2024-03-27 18:59:00,2024-03-27 19:17:00,ios,14.1,1.2.3,Hat Yai
SESS000122,CUST0050,2024-12-19 00:15:00,2024-12-19 00:26:00,android,16.3,2.0.1,Chiang Mai
SESS000123,CUST0050,2024-06-20 15:56:00,2024-06-20 16:00:00,web,13.2,1.2.3,Bangkok
SESS000124,CUST0050,2024-01-21 18:24:00,2024-01-21 18:26:00,web,12.4,2.0.1,Phuket
SESS000125,CUST0050,2024-08-28 06:00:00,2024-08-28 06:12:00,ios,12.4,1.2.3,Khon Kaen
SESS000126,CUST0050,2024-11-01 15:34:00,2024-11-01 15:43:00,android,14.1,1.0.0,Hat Yai
SESS000127,CUST0050,2024-01-28 16:53:00,2024-01-28 17:07:00,ios,13.2,1.2.3,Chiang Mai
SESS000128,CUST0050,2024-06-12 07:18:00,2024-06-12 07:27:00,web,13.2,1.0.0,Khon Kaen
SESS000129,CUST0050,2024-03-22 18:21:00,2024-03-22 18:37:00,android,14.1,1.0.0,Phuket
SESS000130,CUST0050,2024-11-10 18:41:00,2024-11-10 18:53:00,web,12.4,1.0.0,Bangkok
SESS000131,CUST0050,2024-04-03 09:46:00,2024-04-03 10:04:00,ios,16.3,1.2.3,Hat Yai
SESS000132,CUST0436,2024-09-30 16:35:00,2024-09-30 16:51:00,ios,12.4,1.0.0,Phuket
SESS000133,CUST0436,2024-07-01 10:48:00,2024-07-01 11:00:00,ios,12.4,1.2.3,Bangkok
SESS000134,CUST0436,2024-02-20 13:48:00,2024-02-20 14:01:00,ios,13.2,2.0.1,Khon Kaen
SESS000135,CUST0436,2024-12-14 04:24:00,2024-12-14 04:35:00,ios,12.4,1.2.3,Chiang Mai
SESS000136,CUST0436,2024-03-07 03:11:00,2024-03-07 03:25:00,web,13.2,2.0.1,Chiang Mai
SESS000137,CUST0436,2024-01-06 18:04:00,2024-01-06 18:18:00,android,12.4,2.0.1,Hat Yai
SESS000138,CUST00512,2024-01-30 06:26:00,2024-01-30 06:38:00,web,14.1,2.0.1,Phuket
SESS000139,CUST00512,2024-01-18 14:14:00,2024-01-18 14:18:00,web,16.3,1.2.3,Hat Yai
SESS000140,CUST00512,2024-03-06 11:40:00,2024-03-06 11:46:00,android,12.4,1.0.0,Bangkok
SESS000141,CUST00512,2024-07-24 06:41:00,2024-07-24 06:45:00,android,16.3,1.0.0,Chiang Mai
SESS000142,CUST00512,2024-01-03 06:49:00,2024-01-03 07:05:00,web,13.2,2.0.1,Bangkok
SESS000143,CUST00512,2024-08-02 09:16:00,2024-08-02 09:36:00,ios,12.4,1.2.3,Chiang Mai
SESS000144,CUST00512,2024-10-31 06:53:00,2024-10-31 07:07:00,android,13.2,1.0.0,Hat Yai
SESS000145,CUST00512,2024-04-25 18:25:00,2024-04-25 18:43:00,web,16.3,2.0.1,Hat Yai
SESS000146,CUST00512,2024-08-07 06:58:00,2024-08-07 07:05:00,web,14.1,2.0.1,Chiang Mai
SESS000147,CUST00512,2024-03-06 06:39:00,2024-03-06 06:59:00,ios,13.2,1.0.0,Hat Yai
SESS000148,CUST00512,2024-12-21 09:24:00,2024-12-21 09:38:00,web,14.1,2.0.1,Khon Kaen
SESS000149,CUST00512,2024-05-04 06:22:00,2024-05-04 06:30:00,ios,14.1,2.0.1,Khon Kaen
SESS000150,CUST00512,2024-01-18 05:54:00,2024-01-18 06:00:00,android,12.4,2.0.1,Bangkok
SESS000151,CUST00512,2024-12-25 08:42:00,2024-12-25 08:51:00,web,14.1,2.0.1,Khon Kaen
SESS000152,CUST00512,2024-02-02 04:22:00,2024-02-02 04:35:00,ios,12.4,1.0.0,Hat Yai
SESS000153,CUST00512,2024-09-14 14:17:00,2024-09-14 14:35:00,ios,14.1,1.2.3,Chiang Mai
SESS000154,CUST00512,2024-07-12 08:24:00,2024-07-12 08:29:00,web,13.2,1.0.0,Phuket
SESS000155,CUST00512,2024-09-04 05:10:00,2024-09-04 05:18:00,android,13.2,2.0.1,Bangkok
SESS000156,CUST00512,2024-11-18 00:48:00,2024-11-18 00:59:00,ios,12.4,1.0.0,Khon Kaen
SESS000157,CUST00512,2024-01-09 08:56:00,2024-01-09 09:16:00,web,14.1,1.0.0,Hat Yai
SESS000158,CUST0144,2024-05-25 15:35:00,2024-05-25 15:39:00,android,14.1,2.0.1,Khon Kaen
SESS000159,CUST0144,2024-01-03 11:24:00,2024-01-03 11:37:00,android,12.4,1.0.0,Khon Kaen
SESS000160,CUST0144,2024-07-22 10:46:00,2024-07-22 10:51:00,web,13.2,1.2.3,Hat Yai
SESS000161,CUST0144,2024-02-24 15:41:00,2024-02-24 15:45:00,android,12.4,1.2.3,Phuket
SESS000162,CUST0144,2024-06-04 08:59:00,2024-06-04 09:16:00,ios,13.2,1.0.0,Chiang Mai
SESS000163,CUST0144,2024-11-12 12:36:00,2024-11-12 12:56:00,ios,16.3,1.0.0,Khon Kaen
SESS000164,CUST0144,2024-12-27 02:50:00,2024-12-27 03:09:00,ios,12.4,1.2.3,Khon Kaen
SESS000165,CUST0144,2024-10-08 01:41:00,2024-10-08 01:59:00,ios,16.3,1.2.3,Hat Yai
SESS000166,CUST0144,2024-12-16 06:07:00,2024-12-16 06:16:00,android,12.4,1.2.3,Phuket
SESS000167,CUST0144,2024-05-09 14:50:00,2024-05-09 14:58:00,web,14.1,1.2.3,Phuket
SESS000168,CUST0144,2024-01-11 14:48:00,2024-01-11 14:50:00,web,16.3,1.0.0,Phuket
SESS000169,CUST0144,2024-04-04 12:34:00,2024-04-04 12:36:00,web,16.3,1.2.3,Chiang Mai
SESS000170,CUST0144,2024-03-29 02:09:00,2024-03-29 02:26:00,ios,13.2,2.0.1,Hat Yai
SESS000171,CUST0144,2024-06-21 14:04:00,2024-06-21 14:21:00,android,12.4,2.0.1,Phuket
SESS000172,CUST0302,2024-05-05 03:08:00,2024-05-05 03:16:00,android,12.4,2.0.1,Hat Yai
SESS000173,CUST0302,2024-04-11 13:46:00,2024-04-11 13:51:00,ios,14.1,1.0.0,Bangkok
SESS000174,CUST0302,2024-12-01 11:30:00,2024-12-01 11:38:00,android,13.2,1.2.3,Bangkok
SESS000175,CUST0302,2024-12-11 15:51:00,2024-12-11 16:01:00,ios,12.4,1.0.0,Chiang Mai
SESS000176,CUST0302,2024-07-21 03:07:00,2024-07-21 03:20:00,ios,13.2,1.2.3,Bangkok
SESS000177,CUST0302,2024-11-18 16:12:00,2024-11-18 16:25:00,android,16.3,2.0.1,Khon Kaen
SESS000178,CUST0302,2024-12-17 00:05:00,2024-12-17 00:24:00,ios,12.4,2.0.1,Hat Yai
SESS000179,CUST0302,2024-05-16 09:54:00,2024-05-16 10:06:00,web,16.3,2.0.1,Phuket
SESS000180,CUST0302,2024-01-24 11:40:00,2024-01-24 11:50:00,web,14.1,1.2.3,Khon Kaen
SESS000181,CUST0302,2024-12-29 03:48:00,2024-12-29 04:01:00,android,12.4,2.0.1,Bangkok
SESS000182,CUST0302,2024-05-05 13:38:00,2024-05-05 13:46:00,android,13.2,2.0.1,Bangkok
SESS000183,CUST0302,2024-10-27 11:26:00,2024-10-27 11:36:00,web,12.4,1.2.3,Hat Yai
SESS000184,CUST0302,2024-01-06 07:36:00,2024-01-06 07:56:00,ios,12.4,2.0.1,Chiang Mai
SESS000185,CUST0302,2024-04-21 00:45:00,2024-04-21 01:03:00,android,12.4,1.0.0,Khon Kaen
SESS000186,CUST0302,2024-06-19 10:43:00,2024-06-19 10:50:00,ios,14.1,2.0.1,Chiang Mai
SESS000187,CUST0302,2024-09-24 07:59:00,2024-09-24 08:08:00,ios,14.1,2.0.1,Chiang Mai
SESS000188,CUST0302,2024-05-09 06:13:00,2024-05-09 06:30:00,android,16.3,2.0.1,Khon Kaen
SESS000189,CUST0302,2024-02-05 02:48:00,2024-02-05 03:05:00,android,12.4,2.0.1,Phuket
SESS000190,CUST0302,2024-01-06 17:09:00,2024-01-06 17:18:00,ios,12.4,1.0.0,Bangkok
SESS000191,CUST0208,2024-06-24 11:19:00,2024-06-24 11:34:00,android,13.2,1.0.0,Phuket
SESS000192,CUST0208,2024-03-10 12:01:00,2024-03-10 12:06:00,web,14.1,1.2.3,Khon Kaen
SESS000193,CUST0208,2024-06-24 04:41:00,2024-06-24 04:47:00,ios,13.2,2.0.1,Bangkok
SESS000194,CUST0208,2024-04-11 12:17:00,2024-04-11 12:31:00,web,14.1,1.2.3,Phuket
SESS000195,CUST0208,2024-06-11 16:34:00,2024-06-11 16:39:00,web,12.4,1.0.0,Bangkok
SESS000196,CUST0208,2024-09-08 02:33:00,2024-09-08 02:36:00,android,13.2,2.0.1,Khon Kaen
SESS000197,CUST0208,2024-05-03 16:09:00,2024-05-03 16:17:00,android,13.2,1.2.3,Chiang Mai
SESS000198,CUST0208,2024-04-22 13:40:00,2024-04-22 13:58:00,web,14.1,2.0.1,Hat Yai
SESS000199,CUST0208,2024-09-15 10:51:00,2024-09-15 11:00:00,ios,14.1,1.0.0,Chiang Mai
SESS000200,CUST0208,2024-08-15 14:15:00,2024-08-15 14:34:00,ios,13.2,1.2.3,Phuket
SESS000201,CUST0208,2024-05-17 10:49:00,2024-05-17 10:53:00,ios,16.3,1.0.0,Phuket
SESS000202,CUST0208,2024-07-13 09:19:00,2024-07-13 09:26:00,web,12.4,1.0.0,Phuket
SESS000203,CUST0208,2024-03-08 08:11:00,2024-03-08 08:18:00,ios,16.3,1.2.3,Chiang Mai
SESS000204,CUST0208,2024-06-19 06:45:00,2024-06-19 06:57:00,android,13.2,1.2.3,Chiang Mai
SESS000205,CUST0208,2024-08-27 02:24:00,2024-08-27 02:36:00,web,16.3,2.0.1,Phuket
SESS000206,CUST0208,2024-03-07 07:57:00,2024-03-07 08:06:00,android,13.2,2.0.1,Khon Kaen
SESS000207,CUST0472,2024-02-08 19:48:00,2024-02-08 20:08:00,web,14.1,2.0.1,Bangkok
SESS000208,CUST0472,2024-11-14 07:24:00,2024-11-14 07:40:00,ios,12.4,1.2.3,Khon Kaen
SESS000209,CUST0472,2024-06-26 12:36:00,2024-06-26 12:53:00,web,12.4,1.0.0,Phuket
SESS000210,CUST0472,2024-09-19 14:51:00,2024-09-19 14:58:00,ios,16.3,2.0.1,Chiang Mai
SESS000211,CUST0472,2024-10-24 13:46:00,2024-10-24 14:04:00,android,13.2,1.2.3,Khon Kaen
SESS000212,CUST0028,2024-04-25 10:03:00,2024-04-25 10:17:00,web,16.3,1.2.3,Phuket
SESS000213,CUST0028,2024-08-07 01:52:00,2024-08-07 01:59:00,android,13.2,1.2.3,Hat Yai
SESS000214,CUST0028,2024-04-16 18:05:00,2024-04-16 18:21:00,web,13.2,1.2.3,Hat Yai
SESS000215,CUST0028,2024-07-24 07:11:00,2024-07-24 07:29:00,android,14.1,1.0.0,Chiang Mai
SESS000216,CUST0028,2024-01-31 04:45:00,2024-01-31 04:58:00,web,12.4,2.0.1,Khon Kaen
SESS000217,CUST0431,2024-08-22 18:17:00,2024-08-22 18:21:00,web,16.3,1.2.3,Phuket
SESS000218,CUST0431,2024-05-22 19:42:00,2024-05-22 19:59:00,ios,12.4,1.2.3,Hat Yai
SESS000219,CUST0431,2024-10-17 18:39:00,2024-10-17 18:48:00,web,16.3,2.0.1,Bangkok
SESS000220,CUST0431,2024-03-08 04:30:00,2024-03-08 04:39:00,web,13.2,1.2.3,Bangkok
SESS000221,CUST0431,2024-09-06 06:05:00,2024-09-06 06:24:00,ios,16.3,1.2.3,Khon Kaen
SESS000222,CUST0431,2024-01-24 04:02:00,2024-01-24 04:18:00,android,14.1,1.0.0,Phuket
SESS000223,CUST0348,2024-05-21 05:09:00,2024-05-21 05:14:00,android,12.4,1.0.0,Bangkok
SESS000224,CUST0348,2024-07-24 12:05:00,2024-07-24 12:23:00,ios,12.4,1.2.3,Khon Kaen
SESS000225,CUST0348,2024-01-03 00:41:00,2024-01-03 00:50:00,ios,16.3,1.0.0,Hat Yai
SESS000226,CUST0348,2024-03-02 01:58:00,2024-03-02 02:10:00,ios,12.4,2.0.1,Hat Yai
SESS000227,CUST0348,2024-07-16 04:51:00,2024-07-16 04:56:00,web,12.4,1.2.3,Hat Yai
SESS000228,CUST0348,2024-10-13 10:48:00,2024-10-13 10:56:00,android,12.4,2.0.1,Chiang Mai
SESS000229,CUST0348,2024-03-11 17:15:00,2024-03-11 17:28:00,android,16.3,1.0.0,Phuket
SESS000230,CUST0348,2024-11-29 00:22:00,2024-11-29 00:36:00,android,13.2,1.0.0,Phuket
SESS000231,CUST0348,2024-09-19 15:09:00,2024-09-19 15:19:00,web,16.3,1.2.3,Bangkok
SESS000232,CUST0348,2024-02-04 05:33:00,2024-02-04 05:41:00,ios,14.1,2.0.1,Phuket
SESS000233,CUST0348,2024-03-23 15:47:00,2024-03-23 15:51:00,web,13.2,1.0.0,Hat Yai
SESS000234,CUST0348,2024-11-15 03:15:00,2024-11-15 03:30:00,web,16.3,1.0.0,Khon Kaen
SESS000235,CUST0348,2024-10-25 10:40:00,2024-10-25 10:54:00,android,16.3,2.0.1,Khon Kaen
SESS000236,CUST0348,2024-03-19 19:12:00,2024-03-19 19:31:00,android,13.2,2.0.1,Bangkok
SESS000237,CUST0348,2024-10-08 03:42:00,2024-10-08 03:52:00,web,13.2,1.0.0,Khon Kaen
SESS000238,CUST0348,2024-02-27 06:15:00,2024-02-27 06:19:00,ios,14.1,1.0.0,Bangkok
SESS000239,CUST0348,2024-03-29 17:38:00,2024-03-29 17:43:00,android,13.2,1.2.3,Bangkok
SESS000240,CUST0348,2024-11-27 13:50:00,2024-11-27 14:03:00,android,16.3,1.2.3,Phuket
SESS000241,CUST0309,2024-03-01 08:35:00,2024-03-01 08:38:00,android,14.1,1.2.3,Khon Kaen
SESS000242,CUST0309,2024-01-20 07:10:00,2024-01-20 07:27:00,android,14.1,2.0.1,Khon Kaen
SESS000243,CUST0309,2024-05-16 16:02:00,2024-05-16 16:21:00,android,14.1,1.2.3,Phuket
SESS000244,CUST0309,2024-10-08 01:10:00,2024-10-08 01:25:00,web,14.1,1.2.3,Khon Kaen
